anchor_hs4,anchor_product_name_short,anchor_sector,anchor_hs_section_name,anchor_density,anchor_density_percentile,anchor_embeddedness,candidate_hs4,candidate_product_name_short,candidate_sector,candidate_hs_section_name,proximity,proximity_above_country_median,proximity_rank,eligible_candidate_count,pci,cog,distance_travelled,accessible_market_size,accessible_market_size_share,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,pci_norm,cog_norm,accessible_market_size_norm,accessible_market_growth_norm,nai_norm,attractiveness_score,feasibility_score,combined_score
0703,"Onions, shallots, garlic",Agriculture,2. Vegetable products,0.2101278425088695,90.13157894736842,49.84893102618146,0910,Spices,Agriculture,2. Vegetable products,0.3896729606753548,1,10,1065,-2.517802589486876,-3.3678450423499834e-05,4868.147605236873,27148494.0,1.9045772661287373e-05,0.09060098119626359,0.8686165177827612,16.129032258064516,-45.16129032258064,16.129032258064516,0.3583128075456917,0.18125268603029768,0.00011326130378793117,0.35346929607533795,0.1333333333333333,0.24188530635846517,0.1333333333333333,0.2093197144509256
0703,"Onions, shallots, garlic",Agriculture,2. Vegetable products,0.2101278425088695,90.13157894736842,49.84893102618146,0701,Potatoes,Agriculture,2. Vegetable products,0.3763278668729396,1,11,1065,-0.5397975790352212,0.05230451138390772,1714.998782509877,25329515.0,1.7769684915512017e-05,0.05009133816726674,0.743843356843749,9.67741935483871,-58.06451612903225,9.67741935483871,0.5407155826387493,0.22953538666262563,0.00010567267168543343,0.33385520326180834,0.06666666666666667,0.31968197064550524,0.06666666666666667,0.24377737945185365
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,2001,Pickled fruits and vegetables,Agriculture,"4. Prepared foodstuffs; beverages, spirits and tobacco",0.47495031466025506,1,1,1065,-0.3490575802788582,0.18503000890787247,3880.9401292406756,19937362.0,1.3986870288929831e-05,0.09326006061151482,0.6494356206143264,6.451612903225806,-51.612903225806456,6.451612903225806,0.5583047722063039,0.35197648528508546,8.31770489446654e-05,0.3547567779327306,0.033333333333333326,0.3718244333692376,0.033333333333333326,0.27027710335846633
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0811,"Fruits and nuts, frozen",Agriculture,2. Vegetable products,0.44686273757583195,1,2,1065,0.18305505907610722,0.20597367826290533,3997.4051620172486,103660419.0,7.272199976351522e-05,0.17088701997715972,0.788163945626781,6.451612903225806,-64.51612903225806,6.451612903225806,0.6073738198414637,0.3712973085847137,0.00043246281753762223,0.3923424556129803,0.033333333333333326,0.4014511327137397,0.033333333333333326,0.2910157928996178
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0709,Other vegetables,Agriculture,2. Vegetable products,0.44582938933968463,1,3,1065,-1.1623047356362484,0.0857029113782196,2274.6228224453253,12332208.0,8.65154545882764e-06,0.045225391474933874,0.49844537812737444,3.225806451612903,-74.19354838709678,3.225806451612903,0.48331075692832864,0.2603458704341974,5.144896643857869e-05,0.3314991931142791,0.0,0.31001241588899175,0.0,0.2170086911222942
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0712,"Vegetables, dried",Agriculture,2. Vegetable products,0.42855408882167817,1,4,1065,-1.40394131783788,0.08090329960949856,4826.08214090124,116438276.0,8.168618612024055e-05,0.06550785984999896,1.139317986986221,93.54838709677419,45.16129032258064,93.54838709677419,0.4610281120792566,0.25591816250402083,0.0004857709952743226,0.3413196256693437,0.9333333333333333,0.3022020056038398,0.9333333333333333,0.49154140392268786
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,6108,"Women's undergarments, knit",Textiles,11. Textiles and textile articles,0.4271162155845548,1,5,1065,-0.9719213459382168,0.1335148263012299,7677.811693681972,604400744.0,0.00042401170269470377,0.1189910267715466,0.8786779512673136,12.903225806451612,-45.161290322580655,12.903225806451612,0.5008670616035199,0.3044530201501738,0.00252151063244376,0.36721528214821814,0.09999999999999998,0.3373225475308921,0.09999999999999998,0.26612578327162445
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0710,Frozen vegetables,Agriculture,2. Vegetable products,0.4232108531133878,1,6,1065,-0.49747542056783495,0.23095670071351132,3262.6414188055155,106951619.0,7.503091041553256e-05,0.10512609626736302,0.7370649816646185,6.451612903225806,-80.64516129032258,6.451612903225806,0.5446183427994107,0.39434449072248984,0.00044619343563477484,0.36050211428427187,0.033333333333333326,0.38277923789065116,0.033333333333333326,0.2779454665234558
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0810,Other fresh fruit,Agriculture,2. Vegetable products,0.42047830421549204,1,7,1065,-1.8575580436755599,0.006553499596134498,4099.922451280301,129041757.0,9.052804062115153e-05,0.14275631962904867,0.6979782016868505,9.67741935483871,-80.64516129032258,9.67741935483871,0.4191976065020606,0.18732944846018937,0.0005383516905543782,0.3787220401691194,0.06666666666666667,0.2691735280157386,0.06666666666666667,0.20842146961101699
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,0807,Melons and papayas,Agriculture,2. Vegetable products,0.4159805776429872,1,8,1065,-2.5162534627954565,0.0030120106759876503,3035.075598544559,4933524.0,3.4610677307921806e-06,0.024399778413965567,0.5725673728158718,16.129032258064516,-70.96774193548387,16.129032258064516,0.35845566108043636,0.18406237617768573,2.058225994079264e-05,0.3214157789705381,0.1333333333333333,0.23809676722491457,0.1333333333333333,0.20666773705744018
