candidate_hs4,candidate_product_name_short,anchor_count,anchors
3923,Packing lids,9,"0511 - Animal products n.e.c.; 1101 - Wheat or meslin flour; 1515 - Other vegetable fats and oils; 1704 - Confectionery sugar; 2007 - Jams, jellies and marmalades; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 2309 - Animal feed; 4104 - Tanned hides of bovines or equines"
8433,Harvesting or agricultural machinery,9,"0201 - Beef; 0404 - Whey; 0408 - Egg yolks; 1502 - Bovine, sheep and goat fats; 2303 - Starch residues; 2923 - Quaternary ammonium salts and hydroxides; 3503 - Gelatin; 4302 - Other tanned furskins; 5103 - Wool or animal hair waste"
0708,Legumes,8,"0307 - Molluscs; 0703 - Onions, shallots, garlic; 0713 - Legumes, dried; 0814 - Peel of citrus fruit or melons; 0902 - Tea; 1202 - Peanuts; 1209 - Seeds used for sowing; 1301 - Lac"
0804,"Avocados, pineapples, mangos, etc.",8,"0303 - Frozen fish, excluding fillets; 0805 - Citrus fruit; 0814 - Peel of citrus fruit or melons; 1515 - Other vegetable fats and oils; 1701 - Sugarcane & sucrose; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 7108 - Gold"
0910,Spices,8,"0703 - Onions, shallots, garlic; 0713 - Legumes, dried; 0813 - Fruits, dried; 0902 - Tea; 1301 - Lac; 1515 - Other vegetable fats and oils; 2008 - Fruits and nuts, otherwise prepared; 3301 - Essential oils"
2515,Marble,8,"0805 - Citrus fruit; 0806 - Grapes; 0809 - Peaches & cherries; 0909 - Anise, fennel, etc.; 1509 - Olive oil; 2518 - Dolomite; 2607 - Lead ore; 2714 - Bitumen and asphalt, natural"
3402,Cleaning products,8,"1209 - Seeds used for sowing; 1517 - Margarine; 1901 - Malt extract; 2309 - Animal feed; 2522 - Quicklime; 3101 - Animal or vegetable fertilizers; 3307 - Toiletries; 3808 - Insecticides, rodenticides, fungicides, etc."
4005,Compounded rubber,8,0205 - Horse meat; 0505 - Feathers and down; 1520 - Glycerol; 3202 - Synthetic tanning substances; 3812 - Stabilizers for rubber or plastic; 3815 - Catalytic preparations; 5103 - Wool or animal hair waste; 8704 - Motor vehicles for transporting goods
4703,"Chemical woodpulp, soda or sulfate",8,0903 - Mate; 1201 - Soya beans; 2307 - Wine lees; 2528 - Natural borates; 2810 - Oxides of boron; boric acids; 3805 - Turpentines; 3806 - Rosin and resin acids; 5101 - Wool
5302,Hemp fiber,8,"1107 - Malt; 1206 - Sunflower seeds; 1214 - Forage products; 2204 - Wine; 2205 - Wine, flavored; 2304 - Solid soybean residues; 3201 - Vegetable tanning extracts; 3805 - Turpentines"
6308,Needlecraft sets of woven fabric and yarn,8,"0504 - Animal guts, except fish; 0812 - Fruits and nuts, provisionally preserved; 1108 - Starches; 1512 - Sunflower seed oil; 1702 - Other sugars; 2306 - Solid vegetable oil and fat residues; 2508 - Clays; 5103 - Wool or animal hair waste"
7310,"Tanks etc. < 300 liters, iron or steel",8,"0812 - Fruits and nuts, provisionally preserved; 1209 - Seeds used for sowing; 1901 - Malt extract; 2007 - Jams, jellies and marmalades; 2102 - Yeasts; 3101 - Animal or vegetable fertilizers; 3307 - Toiletries; 3823 - Industrial monocarboxylic fatty acids"
8436,Other agricultural machinery,8,"0206 - Edible offal; 0404 - Whey; 0405 - Butter; 0408 - Egg yolks; 1502 - Bovine, sheep and goat fats; 1702 - Other sugars; 2923 - Quaternary ammonium salts and hydroxides; 3503 - Gelatin"
8608,Railway track fixtures,8,"1001 - Wheat and meslin; 1003 - Barley; 1005 - Corn; 1206 - Sunflower seeds; 1512 - Sunflower seed oil; 2303 - Starch residues; 2304 - Solid soybean residues; 7304 - Tubes, seamless, of iron or steel"
0203,Pork,7,"0205 - Horse meat; 2004 - Other vegetables, frozen; 2307 - Wine lees; 2810 - Oxides of boron; boric acids; 3501 - Casein; 3502 - Albumins; 4206 - Articles of gut"
0210,Preserved meat,7,0201 - Beef; 0202 - Beef (frozen); 0205 - Horse meat; 0206 - Edible offal; 1520 - Glycerol; 2304 - Solid soybean residues; 4302 - Other tanned furskins
0305,Preserved fish,7,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 0307 - Molluscs; 0511 - Animal products n.e.c.; 1008 - Other cereals; 2301 - Flours of fish, for animal feed"
0701,Potatoes,7,"0405 - Butter; 0504 - Animal guts, except fish; 0703 - Onions, shallots, garlic; 0805 - Citrus fruit; 0808 - Apples & pears; 0902 - Tea; 2508 - Clays"
0709,Other vegetables,7,"0307 - Molluscs; 0703 - Onions, shallots, garlic; 0711 - Vegetables, provisionally preserved; 0805 - Citrus fruit; 0813 - Fruits, dried; 2005 - Other vegetables, prepared or preserved; 2401 - Unmanufactured tobacco"
0802,Other nuts,7,"0805 - Citrus fruit; 0806 - Grapes; 0809 - Peaches & cherries; 0812 - Fruits and nuts, provisionally preserved; 0813 - Fruits, dried; 0902 - Tea; 5201 - Raw cotton"
1004,Oats,7,"1001 - Wheat and meslin; 1003 - Barley; 1107 - Malt; 1214 - Forage products; 1502 - Bovine, sheep and goat fats; 2205 - Wine, flavored; 5101 - Wool"
1212,Seaweeds & edible vegetable products,7,"0703 - Onions, shallots, garlic; 0713 - Legumes, dried; 0813 - Fruits, dried; 0814 - Peel of citrus fruit or melons; 1008 - Other cereals; 1202 - Peanuts; 1301 - Lac"
1213,Cereal straw and husks,7,0201 - Beef; 0408 - Egg yolks; 0505 - Feathers and down; 1003 - Barley; 1007 - Grain sorghum; 1214 - Forage products; 5103 - Wool or animal hair waste
1501,"Pig and poultry fat, rendered",7,0202 - Beef (frozen); 0206 - Edible offal; 0408 - Egg yolks; 0505 - Feathers and down; 1520 - Glycerol; 2303 - Starch residues; 2923 - Quaternary ammonium salts and hydroxides
1605,Prepared aquatic invertibrates,7,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 0307 - Molluscs; 0814 - Peel of citrus fruit or melons; 2301 - Flours of fish, for animal feed; 3101 - Animal or vegetable fertilizers"
3214,Glaziers' putty,7,"0406 - Cheese; 1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 2713 - Petroleum coke; 3307 - Toiletries; 3823 - Industrial monocarboxylic fatty acids; 8702 - Buses"
3401,Soap,7,"1101 - Wheat or meslin flour; 1515 - Other vegetable fats and oils; 1701 - Sugarcane & sucrose; 1704 - Confectionery sugar; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 2401 - Unmanufactured tobacco"
3505,Dextrins and other modified starches,7,0408 - Egg yolks; 1108 - Starches; 1520 - Glycerol; 2303 - Starch residues; 2923 - Quaternary ammonium salts and hydroxides; 3503 - Gelatin; 3507 - Enzymes
4101,Raw hides of bovines or equines,7,"0511 - Animal products n.e.c.; 0713 - Legumes, dried; 1301 - Lac; 1515 - Other vegetable fats and oils; 1701 - Sugarcane & sucrose; 4104 - Tanned hides of bovines or equines; 7108 - Gold"
