CCOD_RUBRO,DESCRIP_RUBRO,value,share_cordoba,rca_cordoba_exports
311AC,"Chapas y planchas de fundición,hierro o acero",,0,0
311AD,Aceros especiales,,0,0
311AF,"Estructuras, hangares, etc.de hiero o acero",,0,0
311AG,"Estufas, cocinas, etc.de fundición,hierro o acero",,0,0
311D,Plomo,,0,0
311E,Otros metales comunes,,0,0
312AJ,Máquinas automáticas para el procesamiento de datos,,0,0
312AK,"Piezas y accesorios para máquina de escribir, calcular, estadística y otras máquinas de oficina",,0,0
313A,Vehículos y materiales para vías férreas y sus partes,,0,0
314A,"Vehículos de navegación aérea, aeronaves, vehículos espaciales y sus partes",,0,0
314B,Vahículos de navegación marítima y fluvial,,0,0
399,Otras MOI,,0,0
399C,"Instrumentos de música, partes y accesorios",,0,0
401,Petróleo crudo,,0,0
402A,Naftas,,0,0
402B,Gasolinas,,0,0
403,Grasas y aceites lubricantes,,0,0
404A,Gas de petróleo,,0,0
499,Resto de combustibles ,,0,0
,,,,
,,,,
