iso3_d,hs92,potential_market_size_2020,potential_market_size_2024,potential_market_growth_5y
AFG,2927,308845.0,1161.0,-0.6726454897230416
AFG,2928,39347.0,0.0,0.0
AFG,2929,3198744.0,11919712.0,0.30093996540334955
AFG,2930,929448.0,1044170.0,0.02355037756152578
AFG,2931,255742.0,75622.0,-0.2162650388390427
AFG,2932,100136.0,640143.0,0.4492301224207156
AFG,2933,1530915.0,1818087.0,0.03498180898811731
AFG,2934,177324.0,356332.0,0.14978717791361196
AFG,2935,78122.0,177908.0,0.17892024279347774
AFG,2936,4871622.0,13148472.0,0.21966438006655942
AFG,2937,85276.0,92214.0,0.015766786102719088
AFG,2938,5900.0,0.0,0.0
AFG,2939,1185885.0,1258008.0,0.011878027336681862
AFG,2940,0.0,11298.0,0.0
AFG,2941,3783660.0,8250560.0,0.16873019536777
AFG,2942,1800522.0,261651.0,-0.3200690767490356
AFG,3001,51288.0,10171.0,-0.2764482836000084
AFG,3002,398525700.0,367780645.0,-0.01592883282825419
AFG,3003,90367760.0,47534112.0,-0.12057587856756102
AFG,3004,2507279544.0,2632479156.0,0.009793188212635417
AFG,3005,27731652.0,35522780.0,0.050766554484488635
AFG,3006,126515268.0,43508608.0,-0.19223236203263483
AFG,3101,567540.0,0.0,0.0
AFG,3102,330430464.0,124074924.0,-0.1779073080625212
AFG,3104,517484.0,163089.0,-0.20621013669063892
AFG,3105,293320676.0,416487995.0,0.0726349956379786
AFG,3201,0.0,0.0,0.0
AFG,3202,36662.0,4903.0,-0.33127255385120613
AFG,3203,6141180.0,282294.0,-0.4598803666972827
AFG,3204,33092234.0,5073492.0,-0.31274773686820434
AFG,3205,1014.0,11765.0,0.6327165511753712
AFG,3206,16747254.0,6916844.0,-0.1620986797172912
AFG,3207,397524.0,118352.0,-0.21519375628369775
AFG,3208,71810872.0,26209310.0,-0.18256528506715097
AFG,3209,44972264.0,9352258.0,-0.26954352098210344
AFG,3210,361332.0,180764.0,-0.12935501334781274
AFG,3211,426772.0,36770.0,-0.3875656484759241
AFG,3212,246424.0,22454.0,-0.3806699635048022
AFG,3213,8813060.0,42572.0,-0.6558090354755052
AFG,3214,19685045.0,3653604.0,-0.28596909019759653
AFG,3215,2145860.0,1289961.0,-0.09677689374166654
AFG,3301,2863672.0,14640.0,-0.6518843398140675
AFG,3302,43879590.0,34623104.0,-0.04628044414800747
AFG,3303,30455964.0,35238120.0,0.0295989143145432
AFG,3304,90487256.0,50033823.0,-0.11174992289516561
AFG,3305,121464984.0,18103704.0,-0.3166184199770965
AFG,3306,13436825.0,2705884.0,-0.274224167274985
AFG,3307,33421045.0,3918945.0,-0.34862688607825054
AFG,3401,318487050.0,35864118.0,-0.35387926963934946
AFG,3402,163952118.0,33937232.0,-0.2702201343331516
AFG,3403,5784058.0,416250.0,-0.4092219901748385
AFG,3404,154680.0,1169228.0,0.49862512258197733
AFG,3405,4675785.0,1229486.0,-0.23444955920555877
AFG,3406,47004.0,79020.0,0.10948246195235534
AFG,3407,39966.0,949900.0,0.8845056364016066
AFG,3501,29376.0,5003.0,-0.2981447244436546
AFG,3502,15962.0,0.0,0.0
AFG,3503,87216.0,208635.0,0.1905789515018701
AFG,3504,52554.0,354145.0,0.46458663797481825
AFG,3505,500534.0,84760.0,-0.2989459978400636
