iso3_o,iso3_d,dist
AIA,COK,11402.0
AIA,COL,1925.0
AIA,COM,12123.0
AIA,CPV,4229.0
AIA,CRI,2446.0
AIA,CUB,2083.0
AIA,CUW,925.0
AIA,CXR,18535.0
AIA,CYM,1934.0
AIA,CYP,9428.0
AIA,CZE,7588.0
AIA,DEU,7509.0
AIA,DJI,11284.0
AIA,DMA,368.0
AIA,DNK,7454.0
AIA,DOM,724.0
AIA,DZA,6714.0
AIA,ECU,2914.0
AIA,EGY,9417.0
AIA,ERI,10709.0
AIA,ESH,5185.0
AIA,ESP,6140.0
AIA,EST,8158.0
AIA,ETH,10934.0
AIA,FIN,8157.0
AIA,FJI,13561.0
AIA,FLK,7762.0
AIA,FRA,6711.0
AIA,FRO,6499.0
AIA,FSM,14715.0
AIA,GAB,8156.0
AIA,GBR,6576.0
AIA,GEO,10087.0
AIA,GHA,6770.0
AIA,GIB,5961.0
AIA,GIN,5409.0
AIA,GLP,284.0
AIA,GMB,4984.0
AIA,GNB,5138.0
AIA,GNQ,8137.0
AIA,GRC,8516.0
AIA,GRD,696.0
AIA,GRL,5177.0
AIA,GTM,2959.0
AIA,GUF,1876.0
AIA,GUM,15370.0
AIA,GUY,1370.0
AIA,HKG,15514.0
AIA,HND,2621.0
AIA,HRV,7739.0
AIA,HTI,981.0
AIA,HUN,7951.0
AIA,IDN,18294.0
AIA,IND,13296.0
AIA,IOT,15061.0
AIA,IRL,6214.0
AIA,IRN,10902.0
AIA,IRQ,10446.0
AIA,ISL,5960.0
AIA,ISR,9664.0
AIA,ITA,7497.0
AIA,JAM,1454.0
AIA,JOR,9772.0
AIA,JPN,13577.0
AIA,KAZ,12071.0
AIA,KEN,11106.0
AIA,KGZ,11979.0
AIA,KHM,16460.0
AIA,KIR,13530.0
AIA,KNA,108.0
AIA,KOR,13741.0
AIA,KWT,10944.0
AIA,LAO,15709.0
AIA,LBN,9657.0
AIA,LBR,5816.0
AIA,LBY,7677.0
AIA,LCA,516.0
AIA,LIE,7236.0
AIA,LKA,15093.0
AIA,LSO,11036.0
AIA,LTU,8269.0
AIA,LUX,6992.0
AIA,LVA,8158.0
AIA,MAC,15518.0
AIA,MAR,5739.0
AIA,MCO,7074.0
AIA,MDA,8691.0
AIA,MDG,12758.0
AIA,MDV,14659.0
AIA,MEX,3799.0
AIA,MHL,13430.0
AIA,MKD,8231.0
AIA,MLI,5921.0
AIA,MLT,7748.0
AIA,MMR,15519.0
AIA,MNE,8047.0
AIA,MNG,12613.0
AIA,MNP,15154.0
AIA,MOZ,11415.0
AIA,MRT,4967.0
AIA,MSR,182.0
AIA,MTQ,452.0
AIA,MUS,13811.0
AIA,MWI,11201.0
AIA,MYS,17120.0
AIA,MYT,12361.0
AIA,NAM,9814.0
AIA,NCL,14862.0
AIA,NER,6965.0
AIA,NFK,14728.0
AIA,NGA,7309.0
AIA,NIC,2579.0
AIA,NIU,12377.0
AIA,NLD,6930.0
AIA,NOR,7369.0
AIA,NPL,13895.0
AIA,NRU,14233.0
AIA,NZL,14049.0
AIA,OMN,12177.0
AIA,PAK,12813.0
AIA,PAN,2051.0
AIA,PCN,8504.0
AIA,PER,3682.0
AIA,PHL,16347.0
AIA,PLW,16593.0
AIA,PNG,16628.0
AIA,POL,8028.0
AIA,PRI,323.0
AIA,PRK,13601.0
AIA,PRT,5655.0
AIA,PRY,4850.0
AIA,PSE,9656.0
AIA,PYF,10259.0
AIA,QAT,11453.0
AIA,REU,13612.0
AIA,ROU,8549.0
AIA,RUS,9000.0
AIA,RWA,10414.0
AIA,SAU,11056.0
AIA,SDN,10055.0
AIA,SEN,4875.0
AIA,SGP,17423.0
AIA,SHN,7333.0
AIA,SLB,15295.0
AIA,SLE,5487.0
AIA,SLV,2839.0
AIA,SMR,7478.0
AIA,SOM,11885.0
AIA,SPM,3229.0
AIA,SRB,8102.0
AIA,SSD,10339.0
