hs4,market_growth_5y,total_trade,market_size_share,country_current_exports,country_export_growth_5y,country_market_share_2020,country_market_share_2024,market_share_change_abs,distance_travelled,eff_num_exp,country_exporter_rank,accessible_market_size,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,raw_rca_trade,market_size,accessible_market_size_share,accessible_market_to_market_ratio,above_median_cagr,above_median_export_cagr,above_median_accessible_market_growth
0408,0.12379036125375964,1819413822.0,8.419206212595641e-05,21926354.0,0.1725694608180146,0.009744701744945829,0.012051328694368906,0.0023066269494230775,2286.5972856769063,8.83251259495698,16.0,12012102.0,0.1296040902970177,0.6654581796795302,20.0,-33.333333333333336,3.4295003981463403,1819413822.0,8.42697808122231e-06,0.00660218244730912,True,True,True
0409,-0.002690788152723278,2211801231.0,0.00010234950641735802,197622336.0,0.022878927896291312,0.07872595292775492,0.08934904874370242,0.010623095815947503,6445.019015699593,17.250792300840022,3.0,635526113.0,1.5086366603084573,0.561585685404394,3.3333333333333335,-36.666666666666664,25.426457614064,2211801231.0,0.00044584741490668434,0.2873341890277662,False,True,True
0410,-0.01667199970079236,869530066.0,4.0236876543339234e-05,45789.0,-0.327495471551828,0.00035195936021553714,5.2659478712033405e-05,-0.0002992998815035037,4075.7965511914535,2.065972028793336,39.0,193489.0,-0.253534442570432,0.7846142651244377,58.06451612903226,-16.129032258064505,0.014985542904782134,869530066.0,1.3574040263374581e-07,0.0002225213452251115,False,False,False
0501,0.07398093189900945,225059881.0,1.0414483639782064e-05,33364.0,0.9581183409765335,7.3581426752752914e-06,0.0001482449908520124,0.0001408868481767371,3484.8603180922264,1.4007179467159785,28.0,153935.0,-0.051098581026276624,0.09785068343933946,13.333333333333334,-73.33333333333334,0.04218673874422948,225059881.0,1.0799166298562535e-07,0.0006839735243617231,True,True,False
0502,-0.06816728997387711,52028188.0,2.407566867652905e-06,0.0,0.0,0.003136721502633913,0.0,-0.003136721502633913,6193.996290602893,2.079808041636493,0.0,2275327.0,-0.0794318318600904,1.0881574233762514,54.83870967741935,3.225806451612904,0.0,52028188.0,1.5962344272978463e-06,0.04373258203802908,False,False,False
0503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,False,False,False
0504,0.003001018306907577,4642090556.0,0.00021480939177182285,56697737.0,0.013795014212698353,0.011577325165986486,0.01221383691593801,0.0006365117499515238,6808.027971732319,12.565678668047935,19.0,237222125.0,0.027086318313174207,1.2680537726439383,86.66666666666667,33.333333333333336,3.475746088120236,4642090556.0,0.00016642096843300024,0.0511024337285677,False,True,False
0505,0.0865934019974024,1525040964.0,7.057017047643186e-05,9071927.0,0.10103413874674683,0.005568643693438901,0.005948644799812735,0.0003800011063738338,5184.641421068437,5.505784572742668,18.0,4715456.0,-0.12105601694465928,1.165217551010593,70.0,26.666666666666664,1.6928324026977566,1525040964.0,3.30808416003862e-06,0.0030920192383763405,True,True,False
0506,-0.003675614151391726,302198409.0,1.3984013376860663e-05,17.0,-0.9302463693469478,0.03344463507074433,5.6254432497690614e-08,-0.033444578816311826,5051.020336278767,14.63539413194025,84.0,4067423.0,0.4063768989584402,0.5731945243340715,6.451612903225806,-77.41935483870968,1.6008574949787253e-05,302198409.0,2.8534626552504706e-06,0.01345944544665025,False,False,True
0507,0.036876646137581126,171505822.0,7.936308192335598e-06,424319.0,-0.03672335586234976,0.0035751471674858,0.0024740792764457874,-0.0011010678910400125,7110.532207776183,4.872833106834204,33.0,27753.0,-0.2141259962476476,0.6288148578202052,22.58064516129032,-16.12903225806452,0.7040597828504226,171505822.0,1.9469858205346806e-08,0.00016181957951258354,False,False,False
0508,0.013826960567494107,138559220.0,6.411727951775483e-06,0.0,0.0,0.0,0.0,0.0,5486.273372026005,16.84579449541308,0.0,242223.0,-0.1385036235802376,0.6717578516979813,12.903225806451612,-64.51612903225806,0.0,138559220.0,1.6992928562943533e-07,0.0017481550487942988,False,False,False
0509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,False,False,False
0510,0.0890894642369231,637815259.0,2.9514441003631652e-05,19297779.0,0.10790442079152673,0.027772740138552462,0.030256063535162303,0.0024833233966098413,9603.815674479652,5.248242635914047,8.0,65317583.0,0.01812072080545879,0.9532106299464345,73.33333333333333,50.0,8.610103049356242,637815259.0,4.582294091903473e-05,0.10240831036624666,True,True,False
0511,0.03822216315324534,3798947117.0,0.00017579353735814755,39766819.0,-0.006322459243002898,0.01303411993648633,0.01046785274321048,-0.002566267193275849,5206.057190823944,19.265338183660788,21.0,172350519.0,0.002105888541036549,1.1958182273366462,60.0,26.66666666666667,2.9788835788166645,3798947117.0,0.00012091089851720284,0.04536797004326396,False,False,False
0601,0.0219360422130781,1949150640.0,9.019553978947825e-05,0.0,0.0,0.0,0.0,0.0,3583.0783968676174,1.6736234396301986,0.0,16985361.0,0.04469707705722148,0.8634371241089505,22.58064516129032,-45.16129032258064,0.0,1949150640.0,1.1915921530523821e-05,0.008714237192052022,False,False,False
0602,0.019504295765565338,10322696503.0,0.00047767533409887936,4532368.0,0.07538498527689019,0.0003362462608870365,0.00043906822201764773,0.00010282196113061125,1660.0091599591253,4.997865793215009,64.0,11922685.0,0.09922708567805039,0.6093506324029612,19.35483870967742,-54.838709677419345,0.12494760373821026,10322696503.0,8.364248419162443e-06,0.0011549971460010481,False,True,True
