iso3_d,hs92,potential_market_imports_sum
ARG,1904,3468011102.0
ARG,1905,27570712396.0
ARG,2001,1222801172.0
ARG,2002,3663854832.0
ARG,2003,592944963.0
ARG,2004,6476091730.0
ARG,2005,7313686077.0
ARG,2006,303529759.0
ARG,2007,1998280429.0
ARG,2008,14167981014.0
ARG,2009,12334401580.0
ARG,2101,6814027072.0
ARG,2102,1435732513.0
ARG,2103,9826783049.0
ARG,2104,2315358774.0
ARG,2105,3184360672.0
ARG,2106,39413971633.0
ARG,2201,3321524097.0
ARG,2202,14756173787.0
ARG,2203,9923612650.0
ARG,2204,22263523499.0
ARG,2205,265865015.0
ARG,2206,1113089405.0
ARG,2207,8225149077.0
ARG,2208,21822570342.0
ARG,2209,525908091.0
ARG,2301,3777923728.0
ARG,2302,1970244110.0
ARG,2303,3938359557.0
ARG,2304,16949139316.0
ARG,2305,30231196.0
ARG,2306,6734230116.0
ARG,2307,1800080.0
ARG,2308,850276578.0
ARG,2309,21391281010.0
ARG,2401,7685698972.0
ARG,2402,16066990864.0
ARG,2403,8166187888.0
ARG,2501,2944524963.0
ARG,2502,48031664.0
ARG,2503,3352557592.0
ARG,2504,386488078.0
ARG,2505,1377010919.0
ARG,2506,553801273.0
ARG,2507,1092810604.0
ARG,2508,1569751155.0
ARG,2509,73432297.0
ARG,2510,2288342446.0
ARG,2511,349099152.0
ARG,2512,83210529.0
ARG,2513,205345884.0
ARG,2514,30793568.0
ARG,2515,814261488.0
ARG,2516,764076601.0
ARG,2517,2120783198.0
ARG,2518,364862096.0
ARG,2519,1224692423.0
ARG,2520,1092531754.0
ARG,2521,333400280.0
ARG,2522,520479831.0
ARG,2523,5877981769.0
ARG,2524,345235392.0
ARG,2525,93146812.0
ARG,2526,674787487.0
ARG,2528,223838979.0
ARG,2529,958020595.0
ARG,2530,1415986629.0
ARG,2601,28941723420.0
ARG,2602,2264536405.0
ARG,2603,20152996439.0
ARG,2604,1658752041.0
ARG,2605,19415380.0
ARG,2606,1418631795.0
ARG,2607,1832765399.0
ARG,2608,5349563730.0
ARG,2609,514709503.0
ARG,2610,3319864154.0
ARG,2611,94476162.0
ARG,2612,716554708.0
ARG,2613,4327536694.0
ARG,2614,1492188149.0
ARG,2615,891052746.0
ARG,2616,5170878016.0
ARG,2617,302416163.0
ARG,2618,630605333.0
ARG,2619,217611328.0
ARG,2620,7379320936.0
ARG,2621,310304201.0
ARG,2701,73760997747.0
ARG,2702,633755584.0
ARG,2703,963503457.0
ARG,2704,4925215601.0
ARG,2705,1378785.0
ARG,2706,543733345.0
ARG,2707,18897662953.0
ARG,2708,578733665.0
ARG,2709,555180742706.0
ARG,2710,473207085657.0
ARG,2711,237353531461.0
ARG,2712,1929367587.0
ARG,2713,14035649460.0
ARG,2714,191983536.0
ARG,2715,1013563923.0
ARG,2716,27053627176.0
ARG,2801,1872783700.0
ARG,2802,277710325.0
ARG,2803,3719795161.0
ARG,2804,6009962133.0
ARG,2805,395672996.0
ARG,2806,201259752.0
ARG,2807,1070060971.0
ARG,2808,283100347.0
ARG,2809,2592723736.0
ARG,2810,344270971.0
