iso3_d,hs92,year,potential_market_size
AFG,1513,2024,62780.0
AFG,1514,2020,3056442.0
AFG,1514,2024,140029.0
AFG,1515,2020,38526180.0
AFG,1515,2024,2991624.0
AFG,1516,2020,243344526.0
AFG,1516,2024,83466600.0
AFG,1517,2020,8530964.0
AFG,1517,2024,19126137.0
AFG,1518,2020,2025808.0
AFG,1518,2024,0.0
AFG,1519,2020,3285476.0
AFG,1519,2024,6502.0
AFG,1520,2020,172288.0
AFG,1520,2024,304536.0
AFG,1521,2020,55230.0
AFG,1521,2024,1200.0
AFG,1522,2020,220068.0
AFG,1601,2020,8079783.0
AFG,1601,2024,25999.0
AFG,1602,2020,19746360.0
AFG,1602,2024,349702.0
AFG,1603,2020,95218.0
AFG,1604,2020,42196332.0
AFG,1604,2024,28680.0
AFG,1605,2020,290840.0
AFG,1605,2024,50996.0
AFG,1701,2020,3155864940.0
AFG,1701,2024,3031510222.0
AFG,1702,2020,18144335.0
AFG,1702,2024,30382810.0
AFG,1703,2020,29292.0
AFG,1703,2024,0.0
AFG,1704,2020,762968961.0
AFG,1704,2024,66018175.0
AFG,1801,2020,1421.0
AFG,1802,2020,1994.0
AFG,1804,2020,1227.0
AFG,1804,2024,6187.0
AFG,1805,2020,649593.0
AFG,1805,2024,1155622.0
AFG,1806,2020,77183440.0
AFG,1806,2024,13099820.0
AFG,1901,2020,248326806.0
AFG,1901,2024,162984768.0
AFG,1902,2020,242580376.0
AFG,1902,2024,18437865.0
AFG,1903,2020,1853284.0
AFG,1903,2024,63791.0
AFG,1904,2020,4447624.0
AFG,1904,2024,1616204.0
AFG,1905,2020,750812634.0
AFG,1905,2024,52536225.0
AFG,2001,2020,4170705.0
AFG,2001,2024,2681700.0
AFG,2002,2020,205535145.0
AFG,2002,2024,70934.0
AFG,2003,2020,370288.0
AFG,2003,2024,0.0
AFG,2004,2020,1496295.0
AFG,2004,2024,0.0
AFG,2005,2020,107650975.0
AFG,2005,2024,5333324.0
AFG,2006,2020,7964120.0
AFG,2006,2024,0.0
AFG,2007,2020,58451248.0
AFG,2007,2024,6851816.0
AFG,2008,2020,279760530.0
AFG,2008,2024,102145264.0
AFG,2009,2020,303110236.0
AFG,2009,2024,3440493.0
AFG,2101,2020,26535985.0
AFG,2101,2024,3257517.0
AFG,2102,2020,50157265.0
AFG,2102,2024,3002238.0
AFG,2103,2020,17448949.0
AFG,2103,2024,5073570.0
AFG,2104,2020,8921370.0
AFG,2104,2024,679592.0
AFG,2105,2020,634868.0
AFG,2105,2024,538848.0
AFG,2106,2020,565386670.0
AFG,2106,2024,574001134.0
AFG,2201,2020,3433371.0
AFG,2201,2024,51134.0
AFG,2202,2020,120713592.0
AFG,2202,2024,113680338.0
AFG,2203,2020,1405192.0
AFG,2204,2020,1632795.0
AFG,2204,2024,63258.0
AFG,2205,2020,3080.0
AFG,2206,2020,336008.0
AFG,2206,2024,1442.0
AFG,2207,2020,7377415.0
AFG,2207,2024,0.0
AFG,2208,2020,59801712.0
AFG,2208,2024,33094395.0
AFG,2209,2020,2661076.0
AFG,2209,2024,26176.0
AFG,2301,2020,214221.0
AFG,2302,2020,394008.0
AFG,2302,2024,789669.0
AFG,2303,2024,1139748.0
AFG,2304,2020,62937055.0
AFG,2304,2024,135365312.0
AFG,2306,2020,2860656.0
AFG,2306,2024,1432074.0
AFG,2308,2020,3988990.0
AFG,2308,2024,6051054.0
AFG,2309,2020,23435022.0
AFG,2309,2024,22054470.0
AFG,2401,2020,828339.0
AFG,2401,2024,0.0
AFG,2402,2020,2363799440.0
AFG,2402,2024,45854280.0
AFG,2403,2020,212714320.0
AFG,2403,2024,28693372.0
AFG,2501,2020,27931144.0
AFG,2501,2024,21674320.0
AFG,2502,2020,6361.0
AFG,2502,2024,0.0
AFG,2503,2020,880200.0
AFG,2503,2024,513838.0
AFG,2504,2020,145272.0
AFG,2504,2024,76585.0
AFG,2505,2020,122268.0
AFG,2505,2024,135784.0
AFG,2506,2024,0.0
AFG,2507,2020,63693.0
AFG,2507,2024,64920.0
AFG,2508,2020,2155269.0
AFG,2508,2024,172380.0
AFG,2509,2020,31697.0
AFG,2509,2024,10980.0
AFG,2511,2024,108665.0
AFG,2512,2020,9770.0
AFG,2513,2020,120760.0
AFG,2515,2020,420035.0
AFG,2515,2024,711690.0
AFG,2516,2020,79278.0
AFG,2516,2024,0.0
AFG,2517,2020,0.0
AFG,2517,2024,93796.0
AFG,2519,2020,20332.0
AFG,2519,2024,1155.0
AFG,2520,2020,5068640.0
AFG,2520,2024,54043.0
AFG,2522,2020,42414.0
AFG,2523,2020,776984500.0
AFG,2523,2024,346199688.0
AFG,2525,2024,0.0
AFG,2526,2020,5288689.0
AFG,2526,2024,56350.0
AFG,2529,2020,0.0
AFG,2529,2024,0.0
AFG,2530,2020,148336.0
AFG,2530,2024,0.0
AFG,2607,2020,0.0
AFG,2607,2024,0.0
AFG,2608,2024,0.0
AFG,2610,2020,0.0
AFG,2610,2024,0.0
AFG,2618,2024,0.0
AFG,2619,2024,0.0
AFG,2620,2020,67988.0
AFG,2620,2024,5999.0
AFG,2621,2020,46657.0
AFG,2621,2024,2541.0
AFG,2701,2020,216315.0
AFG,2701,2024,48272.0
AFG,2703,2020,59626.0
AFG,2705,2020,0.0
AFG,2706,2024,0.0
AFG,2707,2024,0.0
AFG,2710,2020,2532679968.0
AFG,2710,2024,1493300018.0
AFG,2711,2020,378014550.0
AFG,2711,2024,57746091.0
AFG,2712,2020,939858.0
AFG,2712,2024,279166.0
AFG,2713,2020,1026584.0
AFG,2713,2024,0.0
AFG,2714,2020,0.0
AFG,2714,2024,0.0
AFG,2715,2020,95301.0
AFG,2715,2024,2446.0
AFG,2716,2020,192967297.0
AFG,2716,2024,0.0
AFG,2801,2020,9003152.0
AFG,2801,2024,13068.0
AFG,2802,2020,58641.0
AFG,2803,2020,119984.0
AFG,2803,2024,0.0
AFG,2804,2020,5633757.0
AFG,2806,2020,1912.0
AFG,2806,2024,3601.0
AFG,2807,2020,1810.0
AFG,2808,2020,848684.0
AFG,2808,2024,9312.0
AFG,2809,2024,0.0
AFG,2810,2020,2352.0
AFG,2810,2024,5092.0
AFG,2811,2020,3112428.0
AFG,2811,2024,1239207.0
AFG,2812,2020,6088.0
AFG,2814,2020,4796.0
AFG,2815,2020,6509748.0
AFG,2815,2024,440157.0
AFG,2816,2020,67468.0
AFG,2816,2024,56193.0
AFG,2817,2020,48996.0
AFG,2817,2024,2141.0
AFG,2818,2020,175550.0
AFG,2818,2024,109988.0
AFG,2819,2020,34371.0
AFG,2821,2020,25364.0
AFG,2821,2024,50874.0
AFG,2824,2020,1386.0
AFG,2825,2020,33816.0
AFG,2826,2020,10559.0
AFG,2827,2020,471856.0
AFG,2827,2024,107136.0
AFG,2828,2020,2643108.0
AFG,2828,2024,484854.0
AFG,2829,2020,74399.0
AFG,2829,2024,464870.0
AFG,2831,2020,180738.0
AFG,2831,2024,42000.0
AFG,2833,2020,5751190.0
AFG,2833,2024,458108.0
AFG,2834,2020,7011.0
AFG,2834,2024,2067.0
AFG,2835,2020,4400448.0
AFG,2835,2024,1472415.0
AFG,2836,2020,20437655.0
AFG,2836,2024,11036028.0
AFG,2839,2020,1777344.0
AFG,2839,2024,39915.0
AFG,2842,2020,4386.0
AFG,2842,2024,85777.0
AFG,2844,2020,6151.0
AFG,2847,2020,171270.0
AFG,2847,2024,177650.0
AFG,2848,2020,111718.0
AFG,2848,2024,56288.0
AFG,2849,2020,1775908.0
AFG,2849,2024,8255.0
AFG,2850,2020,45254.0
AFG,2851,2020,359145.0
AFG,2851,2024,120353.0
AFG,2901,2020,29304696.0
AFG,2901,2024,0.0
AFG,2902,2020,22268578.0
AFG,2903,2020,13652856.0
AFG,2903,2024,0.0
AFG,2904,2020,2200.0
AFG,2905,2020,4401090.0
AFG,2905,2024,485600.0
AFG,2906,2020,533038.0
AFG,2906,2024,18308.0
AFG,2907,2020,114727.0
AFG,2907,2024,22989.0
AFG,2908,2020,0.0
AFG,2909,2020,1577100.0
AFG,2909,2024,7468.0
AFG,2910,2020,0.0
AFG,2910,2024,2604.0
AFG,2912,2020,111392.0
AFG,2912,2024,122088.0
AFG,2914,2020,4131.0
AFG,2914,2024,1340.0
AFG,2915,2020,9183370.0
AFG,2915,2024,739245.0
AFG,2916,2020,460326.0
AFG,2916,2024,243111.0
AFG,2917,2020,20518700.0
AFG,2917,2024,6446457.0
AFG,2918,2020,9172272.0
AFG,2918,2024,6160435.0
AFG,2919,2020,7064.0
AFG,2919,2024,255505.0
